Fecha Sorteo,Categoría,Nº Acertantes,Premio por ganador (€)
2025-09-05,1ª 5 + 2,1,65278573
2025-09-05,2ª 5 + 1,0,"743932,43"
2025-09-05,3ª 5 + 0,1,"34773,85"
2025-09-05,4ª 4 + 2,4,"1805,2"
2025-09-05,5ª 4 + 1,104,"160,65"
2025-09-05,6ª 3 + 2,412,"54,53"
2025-09-05,7ª 4 + 0,273,"53,47"
2025-09-05,8ª 2 + 2,6236,"12,02"
2025-09-05,9ª 3 + 1,6543,"12,88"
2025-09-05,10ª 3 + 0,14282,"11,45"
2025-09-05,11ª 1 + 2,35913,"5,19"
2025-09-05,12ª 2 + 1,101465,"5,95"
2025-09-05,13ª 2 + 0,214213,"4,52"
